"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"q_6",-0.00696640677380477,-0.00164066749153508,-0.000427406936346439,-0.00332685874941254,-0.00304018977521991,-0.00241740996450634,-0.00198585651657681,-0.0030380480017941,-0.00159416557969374,-0.00638477374741088,-0.00523568558267405,-0.00851039816812727,-0.00622483164699492,-0.00434984969877087,-0.00207371072176186,0.00124822155437749
"q_7",-0.0044045629499413,-0.0012587560422252,0.00209514575804721,0.00442189295191269,0.00361948434505203,0.00919440030976101,0.010394739854947,0.00950821880686387,0.0097105147927889,0.00767147701759807,0.00812570438374421,0.00734349523228881,0.00750356868414945,0.00144856511688715,-0.00973873504861333,-0.00867479189245402
"q_8",0.0127899938612341,0.00883703717840683,0.00660680774186422,0.00961919427332149,0.00829042789500178,0.00961341123528623,0.00775593740835056,0.00456273650061141,0.00608816449229484,0.00193531933195631,0.00565256824833024,-0.00113168415758071,-0.00177326537456353,-0.00403799589384709,-0.00958772739403453,-0.0121151179784516
"q_9",-0.00843620886500179,-0.005809864807998,-0.000591304537312221,0.000589084202027758,-0.00766673846599487,0.00112179282189934,-0.00079641850532727,-0.0100590727808833,-0.0161708097696547,-0.02648682571247,-0.0263057216533264,-0.0261542744280736,-0.00947923702252543,-0.00493584873432302,0.000908949634068369,0.00595920439386614
"q_10",-0.00740226004672226,-0.00107093204136394,-0.000728777240367766,-0.00439844718530445,-0.00250962613780373,-0.00129205055463182,-0.000207878830924983,-0.0019037108796728,-0.00257439073004811,-0.00119560679892272,-0.00267595876482286,0.00192153285415614,0.00317447999037273,0.00331318375117215,0.00356105513330078,-0.00502942483288306
"q_11",-0.00335106980507641,-0.00360698476236737,-0.00084342273876264,0.00129699284025301,0.0115525092468911,0.00211717004424182,-0.00413207185746302,-0.00129965652398301,-0.00303019690346515,0.00580533489052869,0.00730791314229693,0.0130449917289385,0.0267753519846033,0.0375890557642437,0.0554999845614437,0.0293872151168316
"q_1",-0.0399795985189548,-0.0622050434762039,-0.0664500326556298,-0.0767258527129382,-0.0746831909303061,-0.0744445959791618,-0.0720010998365308,-0.0933811093455539,-0.0801872647578821,-0.0973741424116703,-0.0652240289019934,-0.0525325000979804,-0.0219780778478622,-0.0246139280834594,-0.0492862406429552,-0.0921733430030282
"q_2",-0.0108263830376331,-0.0026318342377473,0.00112428278219073,0.00442350729461965,0.00866728838424388,0.00549603928554364,0.00675782807148568,0.0102059487773368,0.00446937909870509,0.00417084386726848,-0.00560953861526018,-0.00277436419916098,-0.00630283363716079,-0.0181899157082346,-0.031634816100136,-0.0159644289435014
"q_3",0.00195805972352337,0.0120557053825722,0.011059889223671,0.0100271275484717,0.0108286903025761,0.00801475241930306,0.00573430624589084,0.00477231564223758,0.00403970215295411,-0.0029353165294308,0.00106411889688505,0.00452316538367924,0.000900118956952568,-0.00180299105345316,0.00944874838975529,-0.0123438690123645
"q_4",0.00804393005408795,0.00598567377530364,-0.00190908611076134,0.00261166252710851,-0.0005656509556718,-0.00513189102413047,-0.00519901726251683,-0.00105797775768301,-0.00744178245370258,-0.013699760718041,-0.0216800843490269,-0.0140402672706795,-0.0439202192548876,-0.0548442412732264,-0.040497256299823,-0.0414067755191018
